PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23999002","The EHR-ARCHE project: satisfying clinical information needs in a Shared Electronic Health Record system based on IHE XDS and Archetypes","Duftschmid G, Rinner C, Kohler M, Huebner-Bloder G, Saboor S, Ammenwerth E.","Int J Med Inform. 2013 Dec;82(12):1195-207. doi: 10.1016/j.ijmedinf.2013.08.002. Epub 2013 Aug 14.","Duftschmid G","Int J Med Inform","2013","2013/09/04","PMC3851741","","10.1016/j.ijmedinf.2013.08.002"
"23920937","Natural language processing and inference rules as strategies for updating problem list in an electronic health record","Plazzotta F, Otero C, Luna D, de Quiros FG.","Stud Health Technol Inform. 2013;192:1163.","Plazzotta F","Stud Health Technol Inform","2013","2013/08/08","","",""
"23920810","Development of the electronic patient record system based on problem oriented system","Uto Y, Iwaanakuchi T, Muranaga F, Kumamoto I.","Stud Health Technol Inform. 2013;192:1036.","Uto Y","Stud Health Technol Inform","2013","2013/08/08","","",""
"23806275","Sharing clinical decisions for multimorbidity case management using social network and open-source tools","Martínez-García A, Moreno-Conde A, Jódar-Sánchez F, Leal S, Parra C.","J Biomed Inform. 2013 Dec;46(6):977-84. doi: 10.1016/j.jbi.2013.06.007. Epub 2013 Jun 25.","Martínez-García A","J Biomed Inform","2013","2013/06/29","","","10.1016/j.jbi.2013.06.007"
"26190888","User Manuals for a Primary Care Electronic Medical Record System: A Mixed Methods Study of User- and Vendor-Generated Documents","Shachak A, Dow R, Barnsley J, Tu K, Domb S, Jadad AR, Lemieux-Charles L.","IEEE Trans Prof Commun. 2013 Jun 4;56(3):194-209. doi: 10.1109/TPC.2013.2263649.","Shachak A","IEEE Trans Prof Commun","2013","2015/07/21","PMC4503406","CAMS4736","10.1109/TPC.2013.2263649"
"23722634","Health care transformation through collaboration on open-source informatics projects: integrating a medical applications platform, research data repository, and patient summarization","Klann JG, McCoy AB, Wright A, Wattanasin N, Sittig DF, Murphy SN.","Interact J Med Res. 2013 May 30;2(1):e11. doi: 10.2196/ijmr.2454.","Klann JG","Interact J Med Res","2013","2013/06/01","PMC3668611","","10.2196/ijmr.2454"
"23707417","Interoperability of clinical decision-support systems and electronic health records using archetypes: a case study in clinical trial eligibility","Marcos M, Maldonado JA, Martínez-Salvador B, Boscá D, Robles M.","J Biomed Inform. 2013 Aug;46(4):676-89. doi: 10.1016/j.jbi.2013.05.004. Epub 2013 May 22.","Marcos M","J Biomed Inform","2013","2013/05/28","","","10.1016/j.jbi.2013.05.004"
"23602702","The readiness of SNOMED problem list concepts for meaningful use of electronic health records","Agrawal A, He Z, Perl Y, Wei D, Halper M, Elhanan G, Chen Y.","Artif Intell Med. 2013 Jun;58(2):73-80. doi: 10.1016/j.artmed.2013.03.008. Epub 2013 Apr 18.","Agrawal A","Artif Intell Med","2013","2013/04/23","","","10.1016/j.artmed.2013.03.008"
"23168313","Data sources for heart failure comparative effectiveness research","Xian Y, Hammill BG, Curtis LH.","Heart Fail Clin. 2013 Jan;9(1):1-13. doi: 10.1016/j.hfc.2012.09.001. Epub 2012 Oct 24.","Xian Y","Heart Fail Clin","2013","2012/11/22","","","10.1016/j.hfc.2012.09.001"
"23154581","Modeling problem-oriented clinical notes","Cillessen FH, de Vries Robbé PF.","Methods Inf Med. 2012;51(6):507-15. doi: 10.3414/ME11-01-0064. Epub 2012 Nov 16.","Cillessen FH","Methods Inf Med","2012","2012/11/17","","","10.3414/ME11-01-0064"
"23128920","Goodbye to the handwritten note","Roberts M.","Am J Psychiatry. 2012 Nov;169(11):1141-2. doi: 10.1176/appi.ajp.2012.12070916.","Roberts M","Am J Psychiatry","2012","2012/11/07","","","10.1176/appi.ajp.2012.12070916"
"22582202","Development and evaluation of a crowdsourcing methodology for knowledge base construction: identifying relationships between clinical problems and medications","McCoy AB, Wright A, Laxmisan A, Ottosen MJ, McCoy JA, Butten D, Sittig DF.","J Am Med Inform Assoc. 2012 Sep-Oct;19(5):713-8. doi: 10.1136/amiajnl-2012-000852. Epub 2012 May 12.","McCoy AB","J Am Med Inform Assoc","2012","2012/05/15","PMC3422843","","10.1136/amiajnl-2012-000852"
"22491102","The Swedish strategy and method for development of a national healthcare information architecture","Rosenälv J, Lundell KH.","Stud Health Technol Inform. 2012;174:8-16.","Rosenälv J","Stud Health Technol Inform","2012","2012/04/12","","",""
"22215056","Improving completeness of electronic problem lists through clinical decision support: a randomized, controlled trial","Wright A, Pang J, Feblowitz JC, Maloney FL, Wilcox AR, McLoughlin KS, Ramelson H, Schneider L, Bates DW.","J Am Med Inform Assoc. 2012 Jul-Aug;19(4):555-61. doi: 10.1136/amiajnl-2011-000521. Epub 2012 Jan 3.","Wright A","J Am Med Inform Assoc","2012","2012/01/05","PMC3384110","","10.1136/amiajnl-2011-000521"
"22198930","[High-quality hospital discharge summaries - general practitioners expectations]","Bally K, Lingenhel S, Tschudi P.","Ther Umsch. 2012 Jan;69(1):5-7. doi: 10.1024/0040-5930/a000243.","Bally K","Ther Umsch","2012","2011/12/27","","","10.1024/0040-5930/a000243"
"22195218","Comparative analysis of the VA/Kaiser and NLM CORE problem subsets: an empirical study based on problem frequency","Wright A, Feblowitz J, McCoy AB, Sittig DF.","AMIA Annu Symp Proc. 2011;2011:1532-40. Epub 2011 Oct 22.","Wright A","AMIA Annu Symp Proc","2011","2011/12/24","PMC3243236","",""
"22195167","Automatically detecting problem list omissions of type 2 diabetes cases using electronic medical records","Pacheco JA, Thompson W, Kho A.","AMIA Annu Symp Proc. 2011;2011:1062-9. Epub 2011 Oct 22.","Pacheco JA","AMIA Annu Symp Proc","2011","2011/12/24","PMC3243294","",""
"22195147","A prototype knowledge base and SMART app to facilitate organization of patient medications by clinical problems","McCoy AB, Wright A, Laxmisan A, Singh H, Sittig DF.","AMIA Annu Symp Proc. 2011;2011:888-94. Epub 2011 Oct 22.","McCoy AB","AMIA Annu Symp Proc","2011","2011/12/24","PMC3243226","",""
"22195098","Testing Three Problem List Terminologies in a simulated data entry environment","Fung KW, Xu J, Rosenbloom ST, Mohr D, Maram N, Suther T.","AMIA Annu Symp Proc. 2011;2011:445-54. Epub 2011 Oct 22.","Fung KW","AMIA Annu Symp Proc","2011","2011/12/24","PMC3243193","",""
"22184828","Standardizing problem lists in physician practices","Scichilone RA.","J AHIMA. 2011 Nov-Dec;82(11):50-1.","Scichilone RA","J AHIMA","2011","2011/12/22","","",""
"22032775","Towards case-based medical learning in radiological decision making using content-based image retrieval","Welter P, Deserno TM, Fischer B, Günther RW, Spreckelsen C.","BMC Med Inform Decis Mak. 2011 Oct 27;11:68. doi: 10.1186/1472-6947-11-68.","Welter P","BMC Med Inform Decis Mak","2011","2011/10/29","PMC3217894","","10.1186/1472-6947-11-68"
"21830964","Incomplete care--on the trail of flaws in the system","Gandhi TK, Zuccotti G, Lee TH.","N Engl J Med. 2011 Aug 11;365(6):486-8. doi: 10.1056/NEJMp1106313.","Gandhi TK","N Engl J Med","2011","2011/08/12","","","10.1056/NEJMp1106313"
"21676941","Handling anticipated exceptions in clinical care: investigating clinician use of 'exit strategies' in an electronic health records system","Zheng K, Hanauer DA, Padman R, Johnson MP, Hussain AA, Ye W, Zhou X, Diamond HS.","J Am Med Inform Assoc. 2011 Nov-Dec;18(6):883-9. doi: 10.1136/amiajnl-2011-000118. Epub 2011 Jun 14.","Zheng K","J Am Med Inform Assoc","2011","2011/06/17","PMC3197991","","10.1136/amiajnl-2011-000118"
"21613643","A method and knowledge base for automated inference of patient problems from structured data in an electronic medical record","Wright A, Pang J, Feblowitz JC, Maloney FL, Wilcox AR, Ramelson HZ, Schneider LI, Bates DW.","J Am Med Inform Assoc. 2011 Nov-Dec;18(6):859-67. doi: 10.1136/amiajnl-2011-000121. Epub 2011 May 25.","Wright A","J Am Med Inform Assoc","2011","2011/05/27","PMC3197992","","10.1136/amiajnl-2011-000121"
"21612639","Clinician attitudes toward and use of electronic problem lists: a thematic analysis","Wright A, Maloney FL, Feblowitz JC.","BMC Med Inform Decis Mak. 2011 May 25;11:36. doi: 10.1186/1472-6947-11-36.","Wright A","BMC Med Inform Decis Mak","2011","2011/05/27","PMC3120635","","10.1186/1472-6947-11-36"
"21413516","The problem list beyond meaningful use. Part 2: fixing the problem list","Holmes C.","J AHIMA. 2011 Mar;82(3):32-5; quiz 36.","Holmes C","J AHIMA","2011","2011/03/19","","",""
"21233086","Data from clinical notes: a perspective on the tension between structure and flexible documentation","Rosenbloom ST, Denny JC, Xu H, Lorenzi N, Stead WW, Johnson KB.","J Am Med Inform Assoc. 2011 Mar-Apr;18(2):181-6. doi: 10.1136/jamia.2010.007237. Epub 2011 Jan 12.","Rosenbloom ST","J Am Med Inform Assoc","2011","2011/01/15","PMC3116264","","10.1136/jamia.2010.007237"
"20962130","The UMLS-CORE project: a study of the problem list terminologies used in large healthcare institutions","Fung KW, McDonald C, Srinivasan S.","J Am Med Inform Assoc. 2010 Nov-Dec;17(6):675-80. doi: 10.1136/jamia.2010.007047.","Fung KW","J Am Med Inform Assoc","2010","2010/10/22","PMC3000762","","10.1136/jamia.2010.007047"
"20694521","Grid-based implementation of XDS-I as part of image-enabled EHR for regional healthcare in Shanghai","Zhang J, Zhang K, Yang Y, Sun J, Ling T, Wang G, Ling Y, Peng D.","Int J Comput Assist Radiol Surg. 2011 Mar;6(2):273-84. doi: 10.1007/s11548-010-0522-8. Epub 2010 Aug 6.","Zhang J","Int J Comput Assist Radiol Surg","2011","2010/08/10","","","10.1007/s11548-010-0522-8"
"20181271","Sixteen years of ICPC use in Norwegian primary care: looking through the facts","Botsis T, Bassøe CF, Hartvigsen G.","BMC Med Inform Decis Mak. 2010 Feb 24;10:11. doi: 10.1186/1472-6947-10-11.","Botsis T","BMC Med Inform Decis Mak","2010","2010/02/26","PMC2848129","","10.1186/1472-6947-10-11"
"20178586","Assessing the accuracy of an inter-institutional automated patient-specific health problem list","Poissant L, Taylor L, Huang A, Tamblyn R.","BMC Med Inform Decis Mak. 2010 Feb 23;10:10. doi: 10.1186/1472-6947-10-10.","Poissant L","BMC Med Inform Decis Mak","2010","2010/02/25","PMC2837859","","10.1186/1472-6947-10-10"
"20064809","Enhancing laboratory report contents to improve outpatient management of test results","Chang KC, Overhage JM, Hui SL, Were MC.","J Am Med Inform Assoc. 2010 Jan-Feb;17(1):99-103. doi: 10.1197/jamia.M3391.","Chang KC","J Am Med Inform Assoc","2010","2010/01/13","PMC2995639","","10.1197/jamia.M3391"
"19936439","Options for diabetes management in sub-Saharan Africa with an electronic medical record system","Kouematchoua Tchuitcheu G, Rienhoff O.","Methods Inf Med. 2011;50(1):11-22. doi: 10.3414/ME09-01-0021. Epub 2009 Nov 20.","Kouematchoua Tchuitcheu G","Methods Inf Med","2011","2009/11/26","","","10.3414/ME09-01-0021"
"18999284","Content and structure of clinical problem lists: a corpus analysis","Van Vleck TT, Wilcox A, Stetson PD, Johnson SB, Elhadad N.","AMIA Annu Symp Proc. 2008 Nov 6;2008:753-7.","Van Vleck TT","AMIA Annu Symp Proc","2008","2008/11/13","PMC2655994","",""
"18999050","Building an automated problem list based on natural language processing: lessons learned in the early phase of development","Solti I, Aaronson B, Fletcher G, Solti M, Gennari JH, Cooper M, Payne T.","AMIA Annu Symp Proc. 2008 Nov 6;2008:687-91.","Solti I","AMIA Annu Symp Proc","2008","2008/11/13","PMC2655946","",""
"18614395","Implementation of a query interface for a generic record server","Austin T, Kalra D, Tapuria A, Lea N, Ingram D.","Int J Med Inform. 2008 Nov;77(11):754-64. doi: 10.1016/j.ijmedinf.2008.05.003. Epub 2008 Jul 9.","Austin T","Int J Med Inform","2008","2008/07/11","","","10.1016/j.ijmedinf.2008.05.003"
"18587298","Information technology tools to improve treatment of patients with depression: focus on guidelines implementation","Meglic M, Ivanovski M, Marusic A.","Psychiatr Danub. 2008 Jun;20(2):239-44.","Meglic M","Psychiatr Danub","2008","2008/07/01","","",""
"18534074","Expectations for the next generation of electronic patient records in primary care: a triangulated study","Christensen T, Grimsmo A.","Inform Prim Care. 2008;16(1):21-8. doi: 10.14236/jhi.v16i1.671.","Christensen T","Inform Prim Care","2008","2008/06/07","","","10.14236/jhi.v16i1.671"
"18248847","Problem-oriented patient record model as a conceptual foundation for a multi-professional electronic patient record","De Clercq E.","Int J Med Inform. 2008 Sep;77(9):565-75. doi: 10.1016/j.ijmedinf.2007.11.002. Epub 2008 Jan 8.","De Clercq E","Int J Med Inform","2008","2008/02/06","","","10.1016/j.ijmedinf.2007.11.002"
"18216414","The work practice of medical secretaries and the implementation of electronic health records in Denmark","Bertelsen P, Nøhr C.","Health Inf Manag. 2006;34(4):104-11. doi: 10.1177/183335830503400403.","Bertelsen P","Health Inf Manag","2006","2008/01/25","","","10.1177/183335830503400403"
"18161395","Reducing errors and risk in a prenatal network with an electronic medical record","Bernstein PS, Merkatz IR.","J Reprod Med. 2007 Nov;52(11):987-93.","Bernstein PS","J Reprod Med","2007","2007/12/29","","",""
"18045495","Effect of electronic patient record use on mortality in End Stage Renal Disease, a model chronic disease: retrospective analysis of 9 years of prospectively collected data","Pollak VE, Lorch JA.","BMC Med Inform Decis Mak. 2007 Nov 28;7:38. doi: 10.1186/1472-6947-7-38.","Pollak VE","BMC Med Inform Decis Mak","2007","2007/11/30","PMC2238736","","10.1186/1472-6947-7-38"
"17911815","The nodes focusing tool for clinical course data of hypergraph structure in the ontological framework CSX output from POMR-based EMR system","Hirose Y, Yamamoto R, Ueda S.","Stud Health Technol Inform. 2007;129(Pt 1):741-5.","Hirose Y","Stud Health Technol Inform","2007","2007/10/04","","",""
"17719839","From a conceptual problem-oriented electronic patient record model to running systems: a nationwide assessment","De Clercq E.","Int J Med Inform. 2008 May;77(5):346-53. doi: 10.1016/j.ijmedinf.2007.07.002. Epub 2007 Aug 24.","De Clercq E","Int J Med Inform","2008","2007/08/28","","","10.1016/j.ijmedinf.2007.07.002"
"17238420","Data acquisition behaviors during inpatient results review: implications for problem-oriented data displays","Post A, Harrison J Jr.","AMIA Annu Symp Proc. 2006;2006:644-8.","Post A","AMIA Annu Symp Proc","2006","2007/01/24","PMC1839662","",""
"17224986","On educating about medical data management - the other side of the electronic health record","Haux R, Knaup P, Leiner F.","Methods Inf Med. 2007;46(1):74-9.","Haux R","Methods Inf Med","2007","2007/01/17","","",""
"17102271","Is it possible for nurses and doctors to form a useful clinical overview of an EHR?","Neve K, Kragh Iversen R, Andersen CK.","Stud Health Technol Inform. 2006;122:314-9.","Neve K","Stud Health Technol Inform","2006","2006/11/15","","",""
"17051313","From punched cards to computerized patient records: a personal journey","Peterson HE.","Yearb Med Inform. 2006:180-6.","Peterson HE","Yearb Med Inform","2006","2006/10/20","","",""
"16779371","Preliminary validation of an automated health problem list","Poissant L, Tamblyn R, Huang A.","AMIA Annu Symp Proc. 2005;2005:1084.","Poissant L","AMIA Annu Symp Proc","2005","2006/06/17","PMC1560652","",""
"16510021","The CONTENT project: a problem-oriented, episode-based electronic patient record in primary care","Laux G, Koerner T, Rosemann T, Beyer M, Gilbert K, Szecsenyi J.","Inform Prim Care. 2005;13(4):249-55. doi: 10.14236/jhi.v13i4.604.","Laux G","Inform Prim Care","2005","2006/03/03","","","10.14236/jhi.v13i4.604"
"16488013","Representation of ophthalmology concepts by electronic systems: intercoder agreement among physicians using controlled terminologies","Hwang JC, Yu AC, Casper DS, Starren J, Cimino JJ, Chiang MF.","Ophthalmology. 2006 Apr;113(4):511-9. doi: 10.1016/j.ophtha.2006.01.017. Epub 2006 Feb 17.","Hwang JC","Ophthalmology","2006","2006/02/21","","","10.1016/j.ophtha.2006.01.017"
"16375046","A new primary care electronic record. What's in it for you?","Chambers M.","Community Pract. 2005 Dec;78(12):426-8.","Chambers M","Community Pract","2005","2005/12/27","","",""
"16160360","Evaluation of Medical Problem Extraction from Electronic Clinical Documents Using MetaMap Transfer (MMTx)","Meystre S, Haug PJ.","Stud Health Technol Inform. 2005;116:823-8.","Meystre S","Stud Health Technol Inform","2005","2005/09/15","","",""
"16160282","Integration architecture of a mobile virtual health record for shared home care","Hägglund M, Scandurra I, Moström D, Koch S.","Stud Health Technol Inform. 2005;116:340-5.","Hägglund M","Stud Health Technol Inform","2005","2005/09/15","","",""
"16026193","Improved documentation of wound care with a structured encounter form in the pediatric emergency department","Kanegaye JT, Cheng JC, McCaslin RI, Trocinski D, Silva PD.","Ambul Pediatr. 2005 Jul-Aug;5(4):253-7. doi: 10.1367/A04-196R.1.","Kanegaye JT","Ambul Pediatr","2005","2005/07/20","","","10.1367/A04-196R.1"
"15784133","Trends in the prevalence and management of diagnosed type 2 diabetes 1994-2001 in England and Wales","Lusignan S, Sismanidis C, Carey IM, DeWilde S, Richards N, Cook DG.","BMC Fam Pract. 2005 Mar 22;6(1):13. doi: 10.1186/1471-2296-6-13.","Lusignan S","BMC Fam Pract","2005","2005/03/24","PMC1079812","","10.1186/1471-2296-6-13"
"15718604","Integrating electronic guidelines into the diagnostic cycle","Winnem OM.","Stud Health Technol Inform. 2004;105:156-65.","Winnem OM","Stud Health Technol Inform","2004","2005/02/19","","",""
"15360880","Automated medical problem list generation: towards a patient timeline","Bui AA, Taira RK, El-Saden S, Dordoni A, Aberle DR.","Stud Health Technol Inform. 2004;107(Pt 1):587-91.","Bui AA","Stud Health Technol Inform","2004","2004/09/14","","",""
"15068004","Assessment of a three-year experience with a Belgian Primary Care data Network","De Clercq E, Vandenberghe H, Jonckheer P, Bastiaens H, Lafontaine MF, Van Casteren V.","Stud Health Technol Inform. 2002;93:163-9.","De Clercq E","Stud Health Technol Inform","2002","2004/04/08","","",""
"14980061","Regional repositories, reintermediation and the new GMS contract: cardiovascular disease in Tayside","Sullivan FM, McEwan N, Murphy G.","Inform Prim Care. 2003;11(4):215-21. doi: 10.14236/jhi.v11i4.572.","Sullivan FM","Inform Prim Care","2003","2004/02/26","","","10.14236/jhi.v11i4.572"
"14680537","A methodology for the functional comparison of coding schemes in primary care","Brown PJ, Warmington V, Laurence M, Prevost AT.","Inform Prim Care. 2003;11(3):145-8. doi: 10.14236/jhi.v11i3.560.","Brown PJ","Inform Prim Care","2003","2003/12/19","","","10.14236/jhi.v11i3.560"
"14680534","How will practices cope with information for the new GMS contract? Coronary heart disease data recording in five Scottish practices","Morris L, Taylor M, Campbell LM, Sullivan FM.","Inform Prim Care. 2003;11(3):121-7. doi: 10.14236/jhi.v11i3.564.","Morris L","Inform Prim Care","2003","2003/12/19","","","10.14236/jhi.v11i3.564"
"14663993","A conceptual model for documentation of clinical information in the EHR","Asp L, Petersen J.","Stud Health Technol Inform. 2003;95:239-44.","Asp L","Stud Health Technol Inform","2003","2003/12/11","","",""
"14644303","Automated coded ambulatory problem lists: evaluation of a vocabulary and a data entry tool","Wang SJ, Bates DW, Chueh HC, Karson AS, Maviglia SM, Greim JA, Frost JP, Kuperman GJ.","Int J Med Inform. 2003 Dec;72(1-3):17-28. doi: 10.1016/j.ijmedinf.2003.08.002.","Wang SJ","Int J Med Inform","2003","2003/12/04","","","10.1016/j.ijmedinf.2003.08.002"
"14516473","Implications of the problem orientated medical record (POMR) for research using electronic GP databases: a comparison of the Doctors Independent Network Database (DIN) and the General Practice Research Database (GPRD)","Carey IM, Cook DG, De Wilde S, Bremner SA, Richards N, Caine S, Strachan DP, Hilton SR.","BMC Fam Pract. 2003 Sep 30;4:14. doi: 10.1186/1471-2296-4-14.","Carey IM","BMC Fam Pract","2003","2003/10/01","PMC240086","","10.1186/1471-2296-4-14"
"12810131","Health care quality management by means of an incident report system and an electronic patient record system","Takeda H, Matsumura Y, Nakajima K, Kuwata S, Zhenjun Y, Shanmai J, Qiyan Z, Yufen C, Kusuoka H, Inoue M.","Int J Med Inform. 2003 Mar;69(2-3):285-93. doi: 10.1016/s1386-5056(03)00010-8.","Takeda H","Int J Med Inform","2003","2003/06/18","","","10.1016/s1386-5056(03)00010-8"
"12718458","Textual content, health problems and diagnostic codes in electronic patient records in general practice","Nilsson G, Ahlfeldt H, Strender LE.","Scand J Prim Health Care. 2003 Mar;21(1):33-6. doi: 10.1080/02813430310000537.","Nilsson G","Scand J Prim Health Care","2003","2003/04/30","","","10.1080/02813430310000537"
"12463796","Using medication list--problem list mismatches as markers of potential error","Carpenter JD, Gorman PN.","Proc AMIA Symp. 2002:106-10.","Carpenter JD","Proc AMIA Symp","2002","2002/12/05","PMC2244138","",""
"12425243","The index as a new concept towards an integrated framework for the electronic patient record","De Clercq E.","Methods Inf Med. 2002;41(4):313-20.","De Clercq E","Methods Inf Med","2002","2002/11/12","","",""
"11604817","Dynamic viewer of medical events in electronic medical record","Matsumura Y, Kuwata S, Kusuoka H, Takahashi Y, Onishi H, Kawamoto T, Takeda H.","Stud Health Technol Inform. 2001;84(Pt 1):648-52.","Matsumura Y","Stud Health Technol Inform","2001","2001/10/18","","",""
"11604806","Ranking of information in the computerized problem-oriented patient record","Bayegan E, Nytrø Ø, Grimsmo A.","Stud Health Technol Inform. 2001;84(Pt 1):594-8.","Bayegan E","Stud Health Technol Inform","2001","2001/10/18","","",""
"11294376","Feedback on prescribing rate combined with problem-oriented pharmacotherapy education as a model to improve prescribing behaviour among general practitioners","Nilsson G, Hjemdahl P, Hässler A, Vitols S, Wallén NH, Krakau I.","Eur J Clin Pharmacol. 2001 Jan-Feb;56(11):843-8. doi: 10.1007/s002280000242.","Nilsson G","Eur J Clin Pharmacol","2001","2001/04/11","","","10.1007/s002280000242"
"11236362","Computer-based patient record systems","Chamorro T.","Semin Oncol Nurs. 2001 Feb;17(1):24-33. doi: 10.1053/sonu.2001.20416.","Chamorro T","Semin Oncol Nurs","2001","2001/03/10","","","10.1053/sonu.2001.20416"
"11079987","Integrating medical information and knowledge in the HL7 RIM","Schadow G, Russler DC, Mead CN, McDonald CJ.","Proc AMIA Symp. 2000:764-8.","Schadow G","Proc AMIA Symp","2000","2000/11/18","PMC2243789","",""
"10805015","Consultation of medical narratives in the electronic medical record","Tange HJ.","Methods Inf Med. 1999 Dec;38(4-5):289-93.","Tange HJ","Methods Inf Med","1999","2000/05/11","","",""
"10566497","Influences of the Unified Service Action Model on the HL7 Reference Information Model","Russler DC, Schadow G, Mead C, Snyder T, Quade LM, McDonald CJ.","Proc AMIA Symp. 1999:930-4.","Russler DC","Proc AMIA Symp","1999","1999/11/24","PMC2232835","",""
"10337702","[Aspects of electronic patient records in radiology]","Adelhard K, Nissen-Meyer S, Reiser M.","Radiologe. 1999 Apr;39(4):310-5. doi: 10.1007/s001170050515.","Adelhard K","Radiologe","1999","1999/05/25","","","10.1007/s001170050515"
"9357595","Clinical care management and workflow by episodes","Claus PL, Carpenter PC, Chute CG, Mohr DN, Gibbons PS.","Proc AMIA Annu Fall Symp. 1997:91-5.","Claus PL","Proc AMIA Annu Fall Symp","1997","1997/01/01","PMC2233562","",""
"8880266","How to approach the structuring of the medical record? Towards a model for flexible access to free text medical data","Tange H.","Int J Biomed Comput. 1996 Jul;42(1-2):27-34. doi: 10.1016/0020-7101(96)01178-6.","Tange H","Int J Biomed Comput","1996","1996/07/01","","","10.1016/0020-7101(96)01178-6"
"8947707","Medical records: past, present, and future","Hayes GM.","Proc AMIA Annu Fall Symp. 1996:454-8.","Hayes GM","Proc AMIA Annu Fall Symp","1996","1996/01/01","PMC2233046","",""
"8591210","A standards-based clinical information system for HIV/AIDS","Stitt FW.","Medinfo. 1995;8 Pt 1:402.","Stitt FW","Medinfo","1995","1995/01/01","","",""
"10137341","Addressing EMR (electronic medical record) issues head-on","Streveler DJ.","Healthc Inform. 1994 Sep;11(9):68.","Streveler DJ","Healthc Inform","1994","1994/08/06","","",""
"2809670","The uses of the anesthesia record","Gravenstein JS.","J Clin Monit. 1989 Oct;5(4):256-65. doi: 10.1007/BF01618258.","Gravenstein JS","J Clin Monit","1989","1989/10/01","","","10.1007/BF01618258"
"10303871","Improving the accuracy of the computerized medical record","Ramsay A, Peterson T, Earle D.","Top Health Rec Manage. 1989 Sep;10(1):29-35.","Ramsay A","Top Health Rec Manage","1989","1989/08/07","","",""
"2651047","[Practical goals of data processing in tumor surgery]","Hermanek P, Altendorf-Hofmann A, Gall FP.","Chirurg. 1989 Feb;60(2):78-82.","Hermanek P","Chirurg","1989","1989/02/01","","",""
"2651046","[Data processing in surgery and intensive care]","Grundmann R, Pichlmaier H.","Chirurg. 1989 Feb;60(2):72-7.","Grundmann R","Chirurg","1989","1989/02/01","","",""
"10302899","The computer-based medical record: analysis of problems in its implementation in a hospital","Candilio G.","J Clin Comput. 1988;16(5-6):167-73.","Candilio G","J Clin Comput","1988","1987/12/11","","",""
"6336197","Electronic records for general practice. The Danish system","Krogh-Jensen P.","Scand J Prim Health Care. 1984 Sep;2(3):121-3. doi: 10.3109/02813438409018086.","Krogh-Jensen P","Scand J Prim Health Care","1984","1984/09/01","","","10.3109/02813438409018086"
"6336196","The medical record in general practice. Where art and science meet","Sigurdsson G.","Scand J Prim Health Care. 1984 Sep;2(3):113-6. doi: 10.3109/02813438409018084.","Sigurdsson G","Scand J Prim Health Care","1984","1984/09/01","","","10.3109/02813438409018084"
"150163","[Use of a computerized problem-oriented record in special ambulatory periodontal treatment]","Grimm WD, Nossek H.","Zahn Mund Kieferheilkd Zentralbl. 1978;66(2):115-24.","Grimm WD","Zahn Mund Kieferheilkd Zentralbl","1978","1978/01/01","","",""
"1081029","Problem-oriented pediatric practice. Appendix I. Principles of practice. Revised 1/73","Burger CS, Bjorn JC, Cross HD.","Curr Probl Pediatr. 1975 Jul;5(9):29-44.","Burger CS","Curr Probl Pediatr","1975","1975/07/01","","",""
